SampleNumber	Tile	NumberOfReadsRaw	NumberOfReadsPF
8	1212	164091	158668
0	1213	89605	70218
1	1213	401926	387690
2	1213	249121	240327
3	1213	527040	506544
4	1213	369108	356033
5	1213	269049	259366
6	1213	329528	316884
7	1213	328691	316054
8	1213	168216	162147
0	1214	92185	71332
1	1214	408064	393209
2	1214	253185	243878
3	1214	537622	516162
4	1214	375181	361506
5	1214	273017	263074
6	1214	336111	323056
7	1214	336009	322542
8	1214	171097	164894
0	1215	93804	71078
1	1215	419376	402979
2	1215	258649	248571
3	1215	550107	526464
4	1215	385979	370744
5	1215	280175	268987
6	1215	342475	328091
7	1215	342206	327600
8	1215	175562	168539
0	1216	97421	72271
1	1216	433892	415687
2	1216	267761	256262
3	1216	568352	541634
4	1216	399017	382077
5	1216	290288	277849
6	1216	353575	337402
7	1216	352629	336317
8	1216	180934	173183
0	1301	85756	71504
1	1301	355588	345556
2	1301	221046	214997
3	1301	469266	454795
4	1301	329080	319749
5	1301	239271	232474
6	1301	295593	286565
7	1301	291412	282535
8	1301	149858	145543
0	1302	85446	71391
1	1302	355203	345448
2	1302	220921	214861
3	1302	468210	454061
4	1302	328527	319318
5	1302	237667	231053
6	1302	294774	285872
7	1302	291303	282477
8	1302	149394	145249
0	1303	84143	69620
1	1303	357756	347736
2	1303	222695	216415
3	1303	471739	457001
4	1303	330095	320629
5	1303	239432	232781
6	1303	296987	287887
7	1303	292849	284095
8	1303	150785	146501
0	1304	83511	68501
1	1304	360357	350149
2	1304	224530	218194
3	1304	474911	459983
4	1304	333604	324105
5	1304	241584	234640
6	1304	299341	290033
7	1304	295652	286275
8	1304	152102	147716
0	1305	83098	67206
1	1305	363401	353001
2	1305	226556	219953
3	1305	478795	463596
4	1305	334704	325159
5	1305	242559	235423
6	1305	301423	291797
7	1305	296750	287438
8	1305	151885	147544
0	1306	82686	67757
1	1306	366485	356084
2	1306	227579	221063
3	1306	481066	465969
4	1306	337763	328197
5	1306	244166	237250
6	1306	303368	293954
7	1306	299316	290084
8	1306	153643	149312
0	1307	82403	67248
1	1307	369821	359290
2	1307	229393	222838
3	1307	486562	471132
4	1307	341780	331992
5	1307	247625	240343
6	1307	306705	297255
7	1307	302820	293437
8	1307	154554	150127
0	1308	83526	67249
1	1308	374889	363084
2	1308	232336	224950
3	1308	492260	475469
4	1308	345845	335053
5	1308	250832	242646
6	1308	308555	297875
7	1308	305779	295292
8	1308	157297	152257
0	1309	84169	67823
1	1309	381309	369716
2	1309	235803	228573
3	1309	499777	482974
4	1309	350004	339397
5	1309	254241	246295
6	1309	313722	303376
7	1309	312067	301660
8	1309	159760	154841
0	1310	86496	68764
1	1310	386043	374197
2	1310	240231	232746
3	1310	508050	490574
4	1310	355328	344183
5	1310	258211	250284
6	1310	319156	308282
7	1310	317144	306323
8	1310	163122	157893
0	1311	87250	69387
1	1311	393012	379879
2	1311	243748	235714
3	1311	516708	497915
4	1311	362448	350729
5	1311	263568	254680
6	1311	324131	312389
7	1311	322363	310555
8	1311	165076	159565
0	1312	88975	69805
1	1312	400247	385825
2	1312	247809	238872
3	1312	524731	503851
4	1312	367061	354027
5	1312	268102	258280
6	1312	327310	314592
7	1312	327108	314292
8	1312	167434	161281
0	1313	90301	70206
1	1313	407558	392873
2	1313	254121	244916
3	1313	534796	513800
4	1313	376391	362835
5	1313	273005	263134
6	1313	336557	323409
7	1313	334993	321976
8	1313	171171	164977
0	1314	92745	71684
1	1314	416789	401172
2	1314	258832	248876
3	1314	547744	524917
4	1314	383537	369012
5	1314	277948	267363
6	1314	341635	327749
7	1314	341390	327351
8	1314	175013	168286
0	1315	93544	70997
1	1315	425461	408376
2	1315	262361	251616
3	1315	556921	532637
4	1315	390667	375303
5	1315	284564	273314
6	1315	346857	332126
7	1315	346113	331406
8	1315	178315	171195
0	1316	96309	72276
1	1316	436365	418433
2	1316	269697	258216
3	1316	571767	545653
4	1316	402840	386069
5	1316	291225	278958
6	1316	353280	337374
7	1316	353479	337445
8	1316	182537	174778
0	2101	89271	71827
1	2101	345312	336611
2	2101	214165	208748
3	2101	454802	442036
4	2101	317863	309712
5	2101	231386	225342
6	2101	287475	279501
7	2101	282759	275017
8	2101	145455	141692
0	2102	89478	72019
1	2102	346380	337761
2	2102	215037	209526
3	2102	455370	442841
4	2102	318540	310633
5	2102	231724	225747
6	2102	287020	279225
7	2102	283417	275738
8	2102	145339	141628
0	2103	88484	69960
1	2103	349479	340363
2	2103	215729	210207
3	2103	459829	446603
4	2103	321232	312794
5	2103	232620	226520
6	2103	289684	281474
7	2103	285054	276955
8	2103	146369	142380
0	2104	87537	68628
1	2104	350143	340920
2	2104	217921	211998
3	2104	461405	447936
4	2104	325378	316792
5	2104	234907	228483
6	2104	292024	283664
7	2104	287926	279654
8	2104	147876	143894
0	2105	86689	67867
1	2105	352733	343707
2	2105	219906	214248
3	2105	466882	453536
4	2105	326821	318215
5	2105	236174	229903
6	2105	293188	284868
7	2105	290265	282037
8	2105	148208	144258
0	2106	85342	66962
1	2106	356319	347200
2	2106	222077	216339
3	2106	469873	456499
4	2106	330354	321827
5	2106	238940	232625
6	2106	296126	287768
7	2106	291806	283766
8	2106	149810	145856
0	2107	86186	67021
1	2107	359875	350462
2	2107	225106	219289
3	2107	477062	463466
4	2107	334516	325651
5	2107	241155	234747
6	2107	299378	290720
7	2107	295540	286992
8	2107	151831	147768
0	2108	86876	67002
1	2108	365915	355925
2	2108	226968	220713
3	2108	480865	466156
4	2108	336713	327338
5	2108	244952	238046
6	2108	302965	293926
7	2108	299885	291003
8	2108	153766	149518
0	2109	87574	67383
1	2109	371698	361528
2	2109	230353	223920
3	2109	490027	475216
4	2109	343404	333664
5	2109	249182	242196
6	2109	306508	297446
7	2109	303698	294532
8	2109	156360	151931
0	2110	89909	68179
1	2110	376476	365963
2	2110	233754	227253
3	2110	496890	481546
4	2110	347586	337743
5	2110	252739	245520
6	2110	311442	302118
7	2110	309568	300110
8	2110	159238	154726
0	2111	89999	68440
1	2111	383626	372483
2	2111	239012	232107
3	2111	505607	489009
4	2111	354510	343867
5	2111	256126	248407
6	2111	316681	306649
7	2111	315307	305336
8	2111	161193	156307
0	2112	91277	68623
1	2112	391973	378977
2	2112	243287	234976
3	2112	515857	496781
4	2112	360755	348415
5	2112	262390	253495
6	2112	323416	311659
7	2112	320052	308211
8	2112	164822	159255
0	2113	93944	70019
1	2113	399181	386432
2	2113	246811	238834
3	2113	525808	506800
4	2113	368628	356486
5	2113	266582	257760
6	2113	328882	317319
7	2113	326297	314687
8	2113	167903	162286
0	2114	95161	70137
1	2114	408968	394562
2	2114	252976	243864
3	2114	536698	515784
4	2114	376151	362663
5	2114	271785	261930
6	2114	334200	321457
7	2114	334179	321234
8	2114	170805	164667
0	2115	97497	70644
1	2115	416324	400679
2	2115	256298	246602
3	2115	548130	524814
4	2115	384309	369423
5	2115	278334	267430
6	2115	339906	325920
7	2115	339750	325679
8	2115	173228	166518
0	2116	100506	70694
1	2116	426629	409148
2	2116	263168	252037
3	2116	559821	534104
4	2116	393402	376851
5	2116	286086	274235
6	2116	347467	332003
7	2116	345170	329804
8	2116	177378	170074
0	2201	85113	71582
1	2201	343832	335693
2	2201	213259	207993
3	2201	454249	441962
4	2201	317115	309476
5	2201	230680	224991
6	2201	287050	279493
